iata,ville,pays,nom,ville_fr,pays_fr,mots,liaisons
PNP,Girua,Papua New Guinea,Girua,,,,10
GKA,Goroka,Papua New Guinea,Goroka,,,,10
GOV,Gove,Australia,Gove,,Australie,,10
GHB,Governor's Harbor,Bahamas,Governor's Harbour,,Bahamas,,10
GFK,Grand Forks,United States,Grand Forks,,États-Unis,USA US Etats Unis,10
HAS,Hail,Saudi Arabia,Ha'il,,Arabie saoudite,,10
HAD,Halmstad,Sweden,Halmstad,,Suède,,10
HDF,Heringsdorf,Germany,Heringsdorf,,Allemagne,,10
HUY,Humberside,United Kingdom,Humberside,,Royaume-Uni,Angleterre GB Grande-Bretagne,10
HTS,Huntington,United States,Tri-State/Milton J. Ferguson Field,,États-Unis,USA US Etats Unis,10
IBR,Ibaraki,Japan,Hyakuri,,Japon,,10
YGT,Igloolik,Canada,Igloolik,,,,10
JAV,Ilulissat,Greenland,Ilulissat,,,,10
JNZ,Jinzhou,China,Jinzhou,,Chine,,10
JOI,Joinville,Brazil,Lauro Carneiro de Loyola,,Brésil,,10
JDO,Juazeiro Do Norte,Brazil,Orlando Bezerra de Menezes,,Brésil,,10
KGI,Kalgoorlie,Australia,Kalgoorlie Boulder,,Australie,,10
FCA,Kalispell,United States,Glacier Park,,États-Unis,USA US Etats Unis,10
YKA,Kamloops,Canada,Kamloops,,,,10
KDH,Kandahar,Afghanistan,Kandahar,,,,10
KLV,Karlovy Vary,Czech Republic,Karlovy Vary,,Tchéquie,Republique tcheque,10
PGU,Khalije Fars,Iran,Persian Gulf,,,,10
KSQ,Khanabad,Uzbekistan,Karshi Khanabad,,,,10
KNH,Kinmen,Taiwan,Kinmen,,,,10
KKA,Koyuk,United States,Koyuk Alfred Adams,,États-Unis,USA US Etats Unis,10
KUA,Kuantan,Malaysia,Kuantan,,,,10
KUH,Kushiro,Japan,Kushiro,,Japon,,10
RLG,Laage,Germany,Rostock-Laage,,Allemagne,,10
LBL,Liberal,United States,Liberal Mid-America Regional,,États-Unis,USA US Etats Unis,10
LXS,Limnos,Greece,Limnos,,Grèce,,10
LDY,Londonderry,United Kingdom,City of Derry,,Royaume-Uni,Angleterre GB Grande-Bretagne,10
LMM,Los Mochis,Mexico,Valle del Fuerte,,Mexique,,10
MZG,Makung,Taiwan,Makung,,,,10
MYD,Malindi,Kenya,Malindi,,Kenya,,10
MQM,Mardin,Turkey,Mardin,,Turquie,,10
EBA,Marina Di Campo,Italy,Marina Di Campo,,Italie,,10
MCY,Maroochydore,Australia,Sunshine Coast,,Australie,,10
MEH,Mehamn,Norway,Mehamn,,Norvège,,10
MXZ,Meixian,China,Meixian,,Chine,,10
MLB,Melbourne,United States,Melbourne,,États-Unis,USA US Etats Unis,10
MLN,Melilla,Spain,Melilla,,Espagne,,10
ETZ,Metz,France,Metz-Nancy-Lorraine,,,,10
MOT,Minot,United States,Minot,,États-Unis,USA US Etats Unis,10
MMY,Miyako,Japan,Miyako,,Japon,,10
MAS,Momote,Papua New Guinea,Momote,,,,10
UAK,Narssarssuaq,Greenland,Narsarsuaq,,,,10
VOL,Nea Anghialos,Greece,Nea Anchialos,,Grèce,,10
NER,Neryungri,Russia,Chulman,,Russie,,10
EWN,New Bern,United States,Coastal Carolina Regional,,États-Unis,USA US Etats Unis,10
IAG,Niagara Falls,United States,Niagara Falls,,États-Unis,USA US Etats Unis,10
NUS,Norsup,Vanuatu,Norsup,,,,10
NOJ,Noyabrsk,Russia,Noyabrsk,,Russie,,10
LZY,Nyingchi,China,Nyingchi,,Chine,,10
PKZ,Pakse,Laos,Pakse,,,,10
PMR,Palmerston North,New Zealand,Palmerston North,,Nouvelle-Zélande,,10
PFB,Passo Fundo,Brazil,Lauro Kurtz,,Brésil,,10
PUF,Pau,France,Pau Pyrénées,,,,10
PGF,Perpignan,France,Perpignan-Rivesaltes (Llabanère),,,,10
PEG,Perugia,Italy,Perugia San Francesco d'Assisi – Umbria,,Italie,,10
PNZ,Petrolina,Brazil,Senador Nilo Coelho,,Brésil,,10
PQC,Phuquoc,Vietnam,Phu Quoc,,Viêt Nam,,10
PZU,Port Sudan,Sudan,Port Sudan New,,,,10
FNJ,Pyongyang,North Korea,Pyongyang Sunan,,,,10
RKV,Reykjavik,Iceland,Reykjavik,Reykjavík,Islande,,10
RBR,Rio Branco,Brazil,Plácido de Castro,,Brésil,,10
RFD,Rockford,United States,Chicago Rockford,,États-Unis,USA US Etats Unis,10
ROK,Rockhampton,Australia,Rockhampton,,Australie,,10
GES,Romblon,Philippines,General Santos,,Philippines,,10
YUY,Rouyn,Canada,Rouyn Noranda,,,,10
MBS,Saginaw,United States,MBS,,États-Unis,USA US Etats Unis,10
