iata,ville,pays,nom,ville_fr,pays_fr,mots,liaisons
BMW,Bordj Badji Mokhtar,Algeria,Bordj Badji Mokhtar,,Algérie,,2
BWK,Brac,Croatia,Bol,,Croatie,,2
YBR,Brandon,Canada,Brandon Municipal,,,,2
BRQ,Brno,Czech Republic,Brno-Tuřany,,Tchéquie,Republique tcheque,2
BKZ,Bukoba,Tanzania,Bukoba,,,,2
BUL,Bulolo,Papua New Guinea,Bulolo,,,,2
RGS,Burgos,Spain,Burgos,,Espagne,,2
BFV,Buri Ram,Thailand,Buri Ram,,Thaïlande,,2
BTM,Butte,United States,Bert Mooney,,États-Unis,USA US Etats Unis,2
CBH,Béchar,Algeria,Béchar Boudghene Ben Ali Lotfi,,Algérie,,2
CAH,Ca Mau,Vietnam,Cà Mau,,Viêt Nam,,2
OAL,Cacoal,Brazil,Cacoal,,Brésil,,2
CYP,Calbayog City,Philippines,Calbayog,,Philippines,,2
CGM,Camiguin,Philippines,Camiguin,,Philippines,,2
CAL,Campbeltown,United Kingdom,Campbeltown,,Royaume-Uni,Angleterre GB Grande-Bretagne,2
CAJ,Canaima,Venezuela,Canaima,,,,2
CKZ,Canakkale,Turkey,Çanakkale,,Turquie,,2
CSK,Cap Skiring,Senegal,Cap Skirring,,Sénégal,,2
CGI,Cape Girardeau,United States,Cape Girardeau Regional,,États-Unis,USA US Etats Unis,2
LUR,Cape Lisburne,United States,Cape Lisburne LRRS,,États-Unis,USA US Etats Unis,2
CNM,Carlsbad,United States,Cavern City Air Terminal,,États-Unis,USA US Etats Unis,2
CLD,Carlsbad,United States,Mc Clellan-Palomar,,États-Unis,USA US Etats Unis,2
MHC,Castro,Chile,Mocopulli,,Chili,,2
CTC,Catamarca,Argentina,Catamarca,,Argentine,,2
CYZ,Cauayan,Philippines,Cauayan,,Philippines,,2
CDC,Cedar City,United States,Cedar City Regional,,États-Unis,USA US Etats Unis,2
CED,Ceduna,Australia,Ceduna,,Australie,,2
CEM,Central,United States,Central,,États-Unis,USA US Etats Unis,2
BDP,Chandragarhi,Nepal,Bhadrapur,,,,2
CHX,Changuinola,Panama,Cap Manuel Niño,,Panama,,2
SPB,Charlotte Amalie,Virgin Islands,Charlotte Amalie Harbor Seaplane Base,,,,2
CTM,Chetumal,Mexico,Chetumal,,Mexique,,2
CIX,Chiclayo,Peru,Capitan FAP Jose A Quinones Gonzales,,Pérou,,2
CIC,Chico,United States,Chico Municipal,,États-Unis,USA US Etats Unis,2
VPY,Chimoio,Mozambique,Chimoio,,,,2
CIP,Chipata,Zambia,Chipata,,,,2
CHU,Chuathbaluk,United States,Chuathbaluk,,États-Unis,USA US Etats Unis,2
CJM,Chumphon,Thailand,Chumphon,,Thaïlande,,2
ICI,Cicia,Fiji,Cicia,,,,2
IRC,Circle,United States,Circle City /New/,,États-Unis,USA US Etats Unis,2
CIZ,Coari,Brazil,Coari,,Brésil,,2
CCK,Cocos Keeling Island,Cocos (Keeling) Islands,Cocos (Keeling) Islands,,,,2
CDJ,Conceicao Do Araguaia,Brazil,Conceição do Araguaia,,Brésil,,2
CND,Constanta,Romania,Mihail Kogălniceanu,,Roumanie,,2
CPD,Coober Pedy,Australia,Coober Pedy,,Australie,,2
CZE,Coro,Venezuela,José Leonardo Chirinos,,,,2
CEZ,Cortez,United States,Cortez Municipal,,États-Unis,USA US Etats Unis,2
CMG,Corumba,Brazil,Corumbá,,Brésil,,2
CZS,Cruzeiro do Sul,Brazil,Cruzeiro do Sul,,Brésil,,2
CPX,Culebra Island,Puerto Rico,Benjamin Rivera Noriega,,,,2
CUM,Cumana,Venezuela,Cumaná (Antonio José de Sucre),,,,2
DBA,Dalbandin,Pakistan,Dalbandin,,,,2
DPO,Devonport,Australia,Devonport,,Australie,,2
DEF,Dezful,Iran,Dezful,,,,2
DHI,Dhangarhi,Nepal,Dhangarhi,,,,2
DIN,Dienbienphu,Vietnam,Dien Bien Phu,,Viêt Nam,,2
DIJ,Dijon,France,Dijon-Bourgogne,,,,2
DOB,Dobo,Indonesia,Rar Gwamar,,Indonésie,,2
DND,Dundee,United Kingdom,Dundee,,Royaume-Uni,Angleterre GB Grande-Bretagne,2
ESD,Eastsound,United States,Orcas Island,,États-Unis,USA US Etats Unis,2
EAU,Eau Claire,United States,Chippewa Valley Regional,,États-Unis,USA US Etats Unis,2
CFK,Ech-cheliff,Algeria,Ech Cheliff,,Algérie,,2
EGX,Egegik,United States,Egegik,,États-Unis,USA US Etats Unis,2
EGS,Egilsstadir,Iceland,Egilsstaðir,,Islande,,2
ERN,Eirunepe,Brazil,Eirunepé,,Brésil,,2
EBH,El Bayadh,Algeria,El Bayadh,,Algérie,,2
ELC,Elcho Island,Australia,Elcho Island,,Australie,,2
ELV,Elfin Cove,United States,Elfin Cove Seaplane Base,,États-Unis,USA US Etats Unis,2
ESL,Elista,Russia,Elista,,Russie,,2
EKO,Elko,United States,Elko Regional,,États-Unis,USA US Etats Unis,2
QFG,Eqalugaarsuit,Greenland,Eqalugaarsuit Heliport,,,,2
ESC,Escanaba,United States,Delta County,,États-Unis,USA US Etats Unis,2
AOE,Eskissehir,Turkey,Anadolu,,Turquie,,2
VDB,Fagernes,Norway,Leirin,,Norvège,,2
KFP,False Pass,United States,False Pass,,États-Unis,USA US Etats Unis,2
TTT,Fengnin,Taiwan,Taitung,,,,2
FMA,Formosa,Argentina,Formosa,,Argentine,,2
TBN,Fort Leonardwood,United States,Waynesville-St. Robert Regional Forney field,,États-Unis,USA US Etats Unis,2
ZFM,Fort Mcpherson,Canada,Fort Mcpherson,,,,2
FRD,Friday Harbor,United States,Friday Harbor,,États-Unis,USA US Etats Unis,2
FJR,Fujeirah,United Arab Emirates,Fujairah,,Émirats arabes unis,,2
FUN,Funafuti,Tuvalu,Funafuti,,,,2
FUT,Futuna Island,Wallis and Futuna,Pointe Vele,,,,2
GCH,Gachsaran,Iran,Gachsaran,,,,2
YRA,Gamètì,Canada,Rae Lakes,,,,2
GDZ,Gelendzhik,Russia,Gelendzhik,,Russie,,2
GMA,Gemena,Congo (Kinshasa),Gemena,,,,2
OGL,Georgetown,Guyana,Eugene F. Correira,,,,2
LTD,Ghadames,Libya,Ghadames East,,,,2
GHT,Ghat,Libya,Ghat,,,,2
GIL,Gilgit,Pakistan,Gilgit,,,,2
GGW,Glasgow,United States,Wokal Field Glasgow,,États-Unis,USA US Etats Unis,2
GDV,Glendive,United States,Dawson Community,,États-Unis,USA US Etats Unis,2
GDE,Gode,Ethiopia,Gode,,,,2
GLO,Golouchestershire,United Kingdom,Gloucestershire,,Royaume-Uni,Angleterre GB Grande-Bretagne,2
GMO,Gombe,Nigeria,Gombe Lawanti,,,,2
RGK,Gorno-Altaysk,Russia,Gorno-Altaysk,,Russie,,2
GVR,Governador Valadares,Brazil,Coronel Altino Machado de Oliveira,,Brésil,,2
GRW,Graciosa Island,Portugal,Graciosa,,Portugal,,2
GFN,Grafton,Australia,Grafton,,Australie,,2
GCN,Grand Canyon,United States,Grand Canyon National Park,,États-Unis,USA US Etats Unis,2
GLH,Greenville,United States,Mid Delta Regional,,États-Unis,USA US Etats Unis,2
YGZ,Grise Fiord,Canada,Grise Fiord,,,,2
GJA,Guanaja,Honduras,La Laguna,,,,2
GNM,Guanambi,Brazil,Guanambi,,Brésil,,2
GAO,Guantanamo,Cuba,Mariana Grajales,,Cuba,,2
GPB,Guarapuava,Brazil,Tancredo Thomas de Faria,,Brésil,,2
GYA,Guayaramerín,Bolivia,Capitán de Av. Emilio Beltrán,,,,2
ELU,Guemar,Algeria,Guemar,,Algérie,,2
GUC,Gunnison,United States,Gunnison Crested Butte Regional,,États-Unis,USA US Etats Unis,2
GRP,Gurupi,Brazil,Gurupi,,Brésil,,2
GWL,Gwalior,India,Gwalior,,Inde,,2
LWN,Gyumri,Armenia,Gyumri Shirak,,,,2
HAC,Hachijojima,Japan,Hachijojima,,Japon,,2
HDM,Hamadan,Iran,Hamadan,,,,2
XFW,Hamburg,Germany,Hamburg-Finkenwerder,Hambourg,Allemagne,,2
HNM,Hana,United States,Hana,,États-Unis,USA US Etats Unis,2
CMX,Hancock,United States,Houghton County Memorial,,États-Unis,USA US Etats Unis,2
PIB,Hattiesburg/Laurel,United States,Hattiesburg Laurel Regional,,États-Unis,USA US Etats Unis,2
HVR,Havre,United States,Havre City County,,États-Unis,USA US Etats Unis,2
HDN,Hayden,United States,Yampa Valley,,États-Unis,USA US Etats Unis,2
HIB,Hibbing,United States,Range Regional,,États-Unis,USA US Etats Unis,2
HOB,Hobbs,United States,Lea County Regional,,États-Unis,USA US Etats Unis,2
HKK,Hokitika,New Zealand,Hokitika Airfield,,Nouvelle-Zélande,,2
HID,Horn Island,Australia,Horn Island,,Australie,,2
HOE,Huay Xai,Laos,Ban Huoeisay,,,,2
HYG,Hydaburg,United States,Hydaburg Seaplane Base,,États-Unis,USA US Etats Unis,2
IBA,Ibadan,Nigeria,Ibadan,,,,2
IAA,Igarka,Russia,Igarka,,Russie,,2
IGG,Igiugig,United States,Igiugig,,États-Unis,USA US Etats Unis,2
IIL,Ilam,Iran,Ilam,,,,2
ILI,Iliamna,United States,Iliamna,,États-Unis,USA US Etats Unis,2
ILR,Ilorin,Nigeria,Ilorin,,,,2
IPI,Ipiales,Colombia,San Luis,,Colombie,,2
IFJ,Isafjordur,Iceland,Ísafjörður,,Islande,,2
IRP,Isiro,Congo (Kinshasa),Matari,,,,2
ILY,Islay,United Kingdom,Islay,,Royaume-Uni,Angleterre GB Grande-Bretagne,2
ISE,Isparta,Turkey,Süleyman Demirel,,Turquie,,2
OBY,Ittoqqortoormiit,Greenland,Ittoqqortoormiit Heliport,,,,2
IWK,Iwakuni,Japan,Iwakuni Marine Corps Air Station,,Japon,,2
IWJ,Iwami,Japan,Iwami,,Japon,,2
IZO,Izumo,Japan,Izumo,,Japon,,2
JGA,Jamnagar,India,Jamnagar,,Inde,,2
JKR,Janakpur,Nepal,Janakpur,,,,2
JQE,Jaqué,Panama,Jaqué,,Panama,,2
JAU,Jauja,Peru,Francisco Carle,,Pérou,,2
JOE,Joensuu,Finland,Joensuu,,Finlande,,2
JOL,Jolo,Philippines,Jolo,,Philippines,,2
JBR,Jonesboro,United States,Jonesboro Municipal,,États-Unis,USA US Etats Unis,2
JOS,Jos,Nigeria,Yakubu Gowon,,,,2
KAD,Kaduna,Nigeria,Kaduna,,,,2
KAT,Kaitaia,New Zealand,Kaitaia,,Nouvelle-Zélande,,2
KME,Kamembe,Rwanda,Kamembe,,,,2
MUE,Kamuela,United States,Waimea Kohala,,États-Unis,USA US Etats Unis,2
KGT,Kangding,China,Kangding,,Chine,,2
XGR,Kangiqsualujjuaq,Canada,Kangiqsualujjuaq (Georges River),,,,2
KNU,Kanpur,India,Kanpur,,Inde,,2
KAZ,Kao,Indonesia,Kao,,Indonésie,,2
KRP,Karup,Denmark,Karup,,Danemark,,2
KAA,Kasama,Zambia,Kasama,,,,2
KSE,Kasese,Uganda,Kasese,,,,2
KFS,Kastamonu,Turkey,Kastamonu,,Turquie,,2
KSO,Kastoria,Greece,Kastoria National,,Grèce,,2
KHZ,Kauehi,French Polynesia,Kauehi,,,,2
KKR,Kaukura Atoll,French Polynesia,Kaukura,,,,2
KAW,Kawthoung,Burma,Kawthoung,,,,2
KEW,Keewaywin,Canada,Keewaywin,,,,2
KET,Kengtung,Burma,Kengtung,,,,2
KKE,Kerikeri,New Zealand,Kerikeri,,Nouvelle-Zélande,,2
HJR,Khajuraho,India,Khajuraho,,Inde,,2
KHS,Khasab,Oman,Khasab Air Base,,,,2
KHD,Khorram Abad,Iran,Khoram Abad,,,,2
HVD,Khovd,Mongolia,Khovd,,,,2
KHY,Khoy,Iran,Khoy,,,,2
YLC,Kimmirut,Canada,Kimmirut,,,,2
KVC,King Cove,United States,King Cove,,États-Unis,USA US Etats Unis,2
KGC,Kingscote,Australia,Kingscote,,Australie,,2
YGK,Kingston,Canada,Kingston Norman Rogers,,,,2
KCK,Kirensk,Russia,Kirensk,,Russie,,2
IRK,Kirksville,United States,Kirksville Regional,,États-Unis,USA US Etats Unis,2
KTL,Kitale,Kenya,Kitale,,Kenya,,2
KGP,Kogalym,Russia,Kogalym,,Russie,,2
KNQ,Kone,New Caledonia,Koné,,,,2
KOO,Kongolo,Congo (Kinshasa),Kongolo,,,,2
KID,Kristianstad,Sweden,Kristianstad,,Suède,,2
KUU,Kulu,India,Kullu Manali,,Inde,,2
UEO,Kumejima,Japan,Kumejima,,Japon,,2
CMU,Kundiawa,Papua New Guinea,Chimbu,,,,2
KUO,Kuopio,Finland,Kuopio,,Finlande,,2
URE,Kuressaare,Estonia,Kuressaare,,,,2
URS,Kursk,Russia,Kursk East,,Russie,,2
KZR,Kutahya,Turkey,Zafer,,Turquie,,2
KAO,Kuusamo,Finland,Kuusamo,,Finlande,,2
KYP,Kyaukpyu,Burma,Kyaukpyu,,,,2
KYZ,Kyzyl,Russia,Kyzyl,,Russie,,2
LFR,La Fria,Venezuela,La Fria,,,,2
GMZ,La Gomera,Spain,La Gomera,,Espagne,,2
LPD,La Pedrera,Colombia,La Pedrera,,Colombie,,2
IRJ,La Rioja,Argentina,Capitan V A Almonacid,,Argentine,,2
LDU,Lahad Datu,Malaysia,Lahad Datu,,,,2
LMA,Lake Minchumina,United States,Minchumina,,États-Unis,USA US Etats Unis,2
LKB,Lakeba Island,Fiji,Lakeba Island,,,,2
LPT,Lampang,Thailand,Lampang,,Thaïlande,,2
LNS,Lancaster,United States,Lancaster,,États-Unis,USA US Etats Unis,2
LEQ,Land's End,United Kingdom,Land's End,,Royaume-Uni,Angleterre GB Grande-Bretagne,2
LAI,Lannion,France,Lannion-Côte de Granit,,,,2
LAR,Laramie,United States,Laramie Regional,,États-Unis,USA US Etats Unis,2
KLN,Larsen Bay,United States,Larsen Bay,,États-Unis,USA US Etats Unis,2
LEH,Le Havre,France,Le Havre Octeville,,,,2
LPY,Le Puy,France,Le Puy-Loudes,,,,2
LEC,Lençóis,Brazil,Coronel Horácio de Mattos,,Brésil,,2
LEN,Leon,Spain,Leon,León,Espagne,,2
YQL,Lethbridge,Canada,Lethbridge County,,,,2
LLB,Libo,China,Libo,,Chine,,2
LMN,Limbang,Malaysia,Limbang,,,,2
LSY,Lismore,Australia,Lismore,,Australie,,2
ILD,Lleida,Spain,Lleida-Alguaire,,Espagne,,2
YLL,Lloydminster,Canada,Lloydminster,,,,2
LOE,Loei,Thailand,Loei,,Thaïlande,,2
RJL,Logroño-Agoncillo,Spain,Logroño-Agoncillo,,Espagne,,2
LKG,Lokichoggio,Kenya,Lokichoggio,,Kenya,,2
LCX,Longyan,China,Longyan Guanzhishan,,Chine,,2
LPS,Lopez,United States,Lopez Island,,États-Unis,USA US Etats Unis,2
LTO,Loreto,Mexico,Loreto,,Mexique,,2
LAM,Los Alamos,United States,Los Alamos,,États-Unis,USA US Etats Unis,2
LXG,Luang Namtha,Laos,Luang Namtha,,,,2
LUD,Luderitz,Namibia,Luderitz,,,,2
LUH,Ludhiaha,India,Ludhiana,,Inde,,2
LUO,Luena,Angola,Luena,,,,2
YSG,Lutselk'e,Canada,Lutselk'e,,,,2
SSY,M'banza-congo,Angola,Mbanza Congo,,,,2
XMS,Macas,Ecuador,Coronel E Carvajal,,,,2
HGN,Mae Hong Son,Thailand,Mae Hong Son,,Thaïlande,,2
MWF,Maewo Island,Vanuatu,Maewo-Naone,,,,2
MMO,Maio,Cape Verde,Maio,,,,2
MKP,Makemo,French Polynesia,Makemo,,,,2
WMR,Mananara,Madagascar,Mananara Nord,,,,2
MGS,Mangaia Island,Cook Islands,Mangaia Island,,,,2
MBL,Manistee,United States,Manistee Co Blacker,,États-Unis,USA US Etats Unis,2
MZL,Manizales,Colombia,La Nubia,,Colombie,,2
MLY,Manley Hot Springs,United States,Manley Hot Springs,,États-Unis,USA US Etats Unis,2
MHG,Mannheim,Germany,Mannheim-City,,Allemagne,,2
MNS,Mansa,Zambia,Mansa,,,,2
MEC,Manta,Ecuador,Eloy Alfaro,,,,2
MTS,Manzini,Swaziland,Matsapha,,,,2
RUS,Marau,Solomon Islands,Marau,,,,2
MEE,Mare,New Caledonia,Maré,,,,2
MGH,Margate,South Africa,Margate,,Afrique du Sud,,2
MWA,Marion,United States,Williamson County Regional,,États-Unis,USA US Etats Unis,2
MVR,Maroua,Cameroon,Salak,,,,2
MBT,Masbate,Philippines,Moises R. Espinosa,,Philippines,,2
MSU,Maseru,Lesotho,Moshoeshoe I,,,,2
MSS,Massena,United States,Massena Richards Field,,États-Unis,USA US Etats Unis,2
ZMT,Masset,Canada,Masset,,,,2
MUK,Mauke Island,Cook Islands,Mauke,,,,2
MAZ,Mayaguez,Puerto Rico,Eugenio Maria De Hostos,,,,2
MBI,Mbeya,Tanzania,Songwe,,,,2
MCV,McArthur River Mine,Australia,McArthur River Mine,,Australie,,2
MCK,McCook,United States,Mc Cook Ben Nelson Regional,,États-Unis,USA US Etats Unis,2
MZW,Mecheria,Algeria,Mecheria,,Algérie,,2
YXH,Medicine Hat,Canada,Medicine Hat,,,,2
MYU,Mekoryuk,United States,Mekoryuk,,États-Unis,USA US Etats Unis,2
MEB,Melbourne,Australia,Melbourne Essendon,,Australie,,2
MNA,Melonguane,Indonesia,Melangguane,,Indonésie,,2
MDU,Mendi,Papua New Guinea,Mendi,,,,2
MCE,Merced,United States,Merced Regional Macready Field,,États-Unis,USA US Etats Unis,2
MEI,Meridian,United States,Key Field,,États-Unis,USA US Etats Unis,2
MFU,Mfuwe,Zambia,Mfuwe,,,,2
MGT,Milingimbi,Australia,Milingimbi,,Australie,,2
MQH,Minacu,Brazil,Minaçu,,Brésil,,2
MOI,Mitiaro Island,Cook Islands,Mitiaro Island,,,,2
CNY,Moab,United States,Canyonlands Field,,États-Unis,USA US Etats Unis,2
MSZ,Mocamedes,Angola,Namibe,,,,2
MOD,Modesto,United States,Modesto City Co-Harry Sham Field,,États-Unis,USA US Etats Unis,2
MBE,Monbetsu,Japan,Monbetsu,,Japon,,2
MTJ,Montrose CO,United States,Montrose Regional,,États-Unis,USA US Etats Unis,2
MRZ,Moree,Australia,Moree,,Australie,,2
OMO,Mostar,Bosnia and Herzegovina,Mostar,,,,2
MPN,Mount Pleasant,Falkland Islands,Mount Pleasant,,,,2
MYW,Mtwara,Tanzania,Mtwara,,,,2
ODY,Muang Xay,Laos,Oudomsay,,,,2
MSL,Muscle Shoals,United States,Northwest Alabama Regional,,États-Unis,USA US Etats Unis,2
MKG,Muskegon,United States,Muskegon County,,États-Unis,USA US Etats Unis,2
MYQ,Mysore,India,Mysore,,Inde,,2
NGE,N'gaoundere,Cameroon,N'Gaoundéré,,,,2
NAH,Naha,Indonesia,Naha,,Indonésie,,2
NAJ,Nakhchivan,Azerbaijan,Nakhchivan,,,,2
SHM,Nanki-shirahama,Japan,Nanki Shirahama,,Japon,,2
WNA,Napakiak,United States,Napakiak,,États-Unis,USA US Etats Unis,2
PKA,Napaskiak,United States,Napaskiak,,États-Unis,USA US Etats Unis,2
APF,Naples,United States,Naples Municipal,Naples,États-Unis,USA US Etats Unis,2
NAW,Narathiwat,Thailand,Narathiwat,,Thaïlande,,2
NVK,Narvik,Norway,Narvik Framnes,,Norvège,,2
NLG,Nelson Lagoon,United States,Nelson Lagoon,,États-Unis,USA US Etats Unis,2
KEP,Nepalgunj,Nepal,Nepalgunj,,,,2
NIB,Nikolai,United States,Nikolai,,États-Unis,USA US Etats Unis,2
IKO,Nikolski,United States,Nikolski Air Station,,États-Unis,USA US Etats Unis,2
NGK,Nogliki,Russia,Nogliki,,Russie,,2
LBF,North Platte,United States,North Platte Regional Lee Bird Field,,États-Unis,USA US Etats Unis,2
NOB,Nosara Beach,Costa Rica,Nosara,,Costa Rica,,2
NLD,Nuevo Laredo,Mexico,Quetzalcóatl,,Mexique,,2
NQU,Nuquí,Colombia,Reyes Murillo,,Colombie,,2
ONJ,Odate Noshiro,Japan,Odate Noshiro,,Japon,,2
OGD,Ogden,United States,Ogden Hinckley,,États-Unis,USA US Etats Unis,2
OGS,Ogdensburg,United States,Ogdensburg,,États-Unis,USA US Etats Unis,2
YOG,Ogoki Post,Canada,Ogoki Post,,,,2
OKL,Oksibil,Indonesia,Oksibil,,Indonésie,,2
ULG,Olgii,Mongolia,Ulgii Mongolei,,,,2
OLP,Olympic Dam,Australia,Olympic Dam,,Australie,,2
OND,Ondangwa,Namibia,Ondangwa,,,,2
OAG,Orange,Australia,Orange,,Australie,,2
OMD,Oranjemund,Namibia,Oranjemund,,,,2
EUX,Oranjestad,Netherlands Antilles,F. D. Roosevelt,,Antilles néerlandaises,Aruba,2
TMT,Oriximina,Brazil,Trombetas,,Brésil,,2
OLA,Orland,Norway,Ørland,,Norvège,,2
OER,Ornskoldsvik,Sweden,Örnsköldsvik,,Suède,,2
OSW,Orsk,Russia,Orsk,,Russie,,2
OIM,Oshima,Japan,Oshima,,Japon,,2
ZOS,Osorno,Chile,Cañal Bajo Carlos - Hott Siebert,,Chili,,2
OST,Ostend,Belgium,Ostend-Bruges,,Belgique,,2
OLL,Oyo,Congo (Brazzaville),Oyo Ollombo,,,,2
PAH,PADUCAH,United States,Barkley Regional,,États-Unis,USA US Etats Unis,2
PKB,PARKERSBURG,United States,Mid Ohio Valley Regional,,États-Unis,USA US Etats Unis,2
PPG,Pago Pago,American Samoa,Pago Pago,,,,2
PYY,Pai,Thailand,Mae Hong Son,,Thaïlande,,2
PQM,Palenque,Mexico,Palenque,,Mexique,,2
PJG,Panjgur,Pakistan,Panjgur,,,,2
PIN,Parintins,Brazil,Parintins,,Brésil,,2
PFQ,Parsabad,Iran,Parsabade Moghan,,,,2
YPC,Paulatuk,Canada,Paulatuk (Nora Aliqatchialuk Ruben),,,,2
PAV,Paulo Alfonso,Brazil,Paulo Afonso,,Brésil,,2
YPO,Peawanuck,Canada,Peawanuck,,,,2
PLN,Pellston,United States,Pellston Regional of Emmet County,,États-Unis,USA US Etats Unis,2
PDT,Pendleton,United States,Eastern Oregon Regional At Pendleton,,États-Unis,USA US Etats Unis,2
SSR,Pentecost Island,Vanuatu,Sara,,,,2
YYF,Penticton,Canada,Penticton,,,,2
PEZ,Penza,Russia,Penza,,Russie,,2
KPV,Perryville,United States,Perryville,,États-Unis,USA US Etats Unis,2
PES,Petrozavodsk,Russia,Petrozavodsk,,Russie,,2
PWE,Pevek,Russia,Pevek,,Russie,,2
PHW,Phalaborwa,South Africa,Hendrik Van Eck,,Afrique du Sud,,2
XKH,Phon Savan,Laos,Xieng Khouang,,,,2
PRH,Phrae,Thailand,Phrae,,Thaïlande,,2
YPL,Pickle Lake,Canada,Pickle Lake,,,,2
PZB,Pietermaritzburg,South Africa,Pietermaritzburg,,Afrique du Sud,,2
PIP,Pilot Point,United States,Pilot Point,,États-Unis,USA US Etats Unis,2
PIH,Pocatello,United States,Pocatello Regional,,États-Unis,USA US Etats Unis,2
PKR,Pokhara,Nepal,Pokhara,,,,2
PPN,Popayan,Colombia,Guillermo León Valencia,,Colombie,,2
CLM,Port Angeles,United States,William R Fairchild,,États-Unis,USA US Etats Unis,2
POG,Port Gentil,Gabon,Port Gentil,,,,2
PTH,Port Heiden,United States,Port Heiden,,États-Unis,USA US Etats Unis,2
PTU,Port Moller,United States,Platinum,,États-Unis,USA US Etats Unis,2
RCY,Port Nelson,Bahamas,Rum Cay,,Bahamas,,2
PSM,Portsmouth,United States,Portsmouth at Pease,,États-Unis,USA US Etats Unis,2
PSS,Posadas,Argentina,Libertador Gral D Jose De San Martin,,Argentine,,2
PSJ,Poso,Indonesia,Kasiguncu,,Indonésie,,2
PTG,Potgietersrus,South Africa,Polokwane,,Afrique du Sud,,2
YPW,Powell River,Canada,Powell River,,,,2
PRI,Praslin,Seychelles,Praslin,,,,2
PRC,Prescott,United States,Ernest A. Love Field,,États-Unis,USA US Etats Unis,2
PVA,Providencia,Colombia,El Embrujo,,Colombie,,2
PVC,Provincetown,United States,Provincetown Municipal,,États-Unis,USA US Etats Unis,2
PUB,Pueblo,United States,Pueblo Memorial,,États-Unis,USA US Etats Unis,2
PYH,Puerto Ayacucho,Venezuela,Cacique Aramare,,,,2
LQM,Puerto Leguízamo,Colombia,Caucaya,,Colombie,,2
PMY,Puerto Madryn,Argentina,El Tehuelche,,Argentine,,2
PUE,Puerto Obaldia,Panama,Puerto Obaldia,,Panama,,2
PBU,Putao,Burma,Putao,,,,2
GBB,Qabala,Azerbaijan,Gabala,,,,2
UIP,Quimper,France,Quimper-Cornouaille,,,,2
UIN,Quincy,United States,Quincy Regional Baldwin Field,,États-Unis,USA US Etats Unis,2
VKG,Rach Gia,Vietnam,Rach Gia,,Viêt Nam,,2
RAH,Rafha,Saudi Arabia,Rafha Domestic,,Arabie saoudite,,2
RJH,Rajshahi,Bangladesh,Shah Mokhdum,,,,2
NTX,Ranai-Natuna Besar Island,Indonesia,Ranai,,Indonésie,,2
UNN,Ranong,Thailand,Ranong,,Thaïlande,,2
RDD,Redding,United States,Redding Municipal,,États-Unis,USA US Etats Unis,2
RDC,Redencao,Brazil,Redenção,,Brésil,,2
RES,Resistencia,Argentina,Resistencia,,Argentine,,2
RIB,Riberalta,Bolivia,Capitán Av. Selin Zeitun Lopez,,,,2
RCB,Richard's Bay,South Africa,Richards Bay,,Afrique du Sud,,2
RCM,Richmond,Australia,Richmond,,Australie,,2
RCH,Rio Hacha,Colombia,Almirante Padilla,,Colombie,,2
RHD,Rio Hondo,Argentina,Termas de Río Hondo international,,Argentine,,2
RVD,Rio Verde,Brazil,General Leite de Castro,,Brésil,,2
RIW,Riverton WY,United States,Riverton Regional,,États-Unis,USA US Etats Unis,2
RKD,Rockland,United States,Knox County Regional,,États-Unis,USA US Etats Unis,2
RRG,Rodriguez Island,Mauritius,Sir Charles Gaetan Duval,,,,2
ROI,Roi Et,Thailand,Roi Et,,Thaïlande,,2
ROO,Rondonopolis,Brazil,Maestro Marinho Franco,,Brésil,,2
RNN,Ronne,Denmark,Bornholm,,Danemark,,2
RRS,Roros,Norway,Røros,,Norvège,,2
RTA,Rotuma,Fiji,Rotuma,,,,2
TTQ,Roxana,Costa Rica,Aerotortuguero,,Costa Rica,,2
RUT,Rutland,United States,Rutland - Southern Vermont Regional,,États-Unis,USA US Etats Unis,2
AFZ,Sabzevar,Iran,Sabzevar National,,,,2
SNO,Sakon Nakhon,Thailand,Sakon Nakhon,,Thaïlande,,2
SLM,Salamanca,Spain,Salamanca,,Espagne,,2
SLN,Salina,United States,Salina Municipal,,États-Unis,USA US Etats Unis,2
SLX,Salt Cay,Turks and Caicos Islands,Salt Cay,,,,2
SVZ,San Antonio,Venezuela,San Antonio Del Tachira,,,,2
SJI,San Jose,Philippines,San Jose,San José,Philippines,,2
SYQ,San Jose,Costa Rica,Tobias Bolanos,San José,Costa Rica,,2
CPC,San Martin Des Andes,Argentina,Aviador C. Campos,,Argentine,,2
SOM,San Tome,Venezuela,San Tomé,,,,2
SDG,Sanandaj,Iran,Sanandaj,,,,2
YZP,Sandspit,Canada,Sandspit,,,,2
EAE,Sangafa,Vanuatu,Siwo,,,,2
SNV,Santa Ana De Uairen,Venezuela,Santa Elena de Uairen,,,,2
SCZ,Santa Cruz/Graciosa Bay/Luova,Solomon Islands,Santa Cruz/Graciosa Bay/Luova,,,,2
IRZ,Santa Isabel do Rio Negro,Brazil,Tapuruquara,,Brésil,,2
RSA,Santa Rosa,Argentina,Santa Rosa,,Argentine,,2
ETR,Santa Rosa,Ecuador,Santa Rosa,,,,2
SRA,Santa Rosa,Brazil,Santa Rosa,,Brésil,,2
SDE,Santiago Del Estero,Argentina,Vicecomodoro Angel D. La Paz Aragonés,,Argentine,,2
